MicrobeID	Acetate kinase (acetate producer or consumer)	Bifid shunt	Acetogen pathway	Formate producer	D-lactate producer	L-lactate producer	Ethanol producer or consumer	Succinate producer	Propionate from succinate	Propionate from propane-1,2-diol	Propionate from lactate (acrylate pathway)	Propionate from threonine	Wood-Werkman cycle	Butyrate via butyryl-CoA: acetate CoA transferase	Butyrate via butyrate kinase	Butyrate from lysine via butyrate-acetoacetate CoA-transferase	Butyrate from glutarate or glutamate	Butyrate from 4-hydroxybutyrate or succinate	Hydrogen from ferredoxin oxidoreductase	Hydrogen from formate hydrogen lyase	Methanogenesis	Sulfate reducer	Isobutyrate producer	Isovalerate producer	Acetoin producer	2,3-butanediol producer	Indole producer	Phenylacetate producer	Butanol producer	Valerate producer	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A23_bc67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A24_bc68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A26_bc70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A2_bc49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A31_bc75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_A37_bc81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Aliivibrio_sp_S50_bc45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Brevinema_sp_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Brevinema_sp_NWS_MAG_00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Brevinema_sp_NWS_MAG_00003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Brevinemataceae_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Brevinemataceae_MAG_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Carnobacterium_maltaromaticum_A35_bc79	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_A39_bc83	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_A40_bc84	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_A41_bc85	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_A42_bc86	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_S39_bc39	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_S41_bc36	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_S42_bc37	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_S44_bc39	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Carnobacterium_maltaromaticum_S47_bc42	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Cetobacterium_A_sp_NWS_MAG_00009	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_A3_bc50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_A4_bc51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_A8_bc54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_S12_bc09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_S25_bc21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_frigidarium_S26_bc22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_sp_A33_bc77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_sp_S1_bc01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Flavobacterium_sp_S21_bc17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Glutamicibacter_sp_S15_bc15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Glutamicibacter_sp_S1_bc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lactobacillus_johnsonii_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Lactobacillus_kitasatonis_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204023	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204029	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204033	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204092	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204093	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204096	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204098	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA204100	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214002	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214059	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214060	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214061	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214062	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214117	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_curvatus_ELA214388	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_fuchuensis_ELA214068	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_sakei_ELA214064	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_sakei_ELA214065	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Latilactobacillus_sakei_ELA214391	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Lelliottia_amnigena_S10_bc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S13_bc13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S16_bc16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S18_bc18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S20_bc20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S22_bc22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S28_bc28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S30_bc30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S31_bc31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S32_bc32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S34_bc34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S37_bc37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S3_bc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S43_bc43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S47_bc47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Lelliottia_amnigena_S4_bc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Ligilactobacillus_salivarius_MAG_01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Ligilactobacillus_salivarius_MAG_02	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Limosilactobacillus_frumenti_MAG_01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_ingluviei_MAG_01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_ingluviei_MAG_02	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_mucosae_MAG_01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_mucosae_MAG_02	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_vaginalis_MAG_01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Limosilactobacillus_vaginalis_MAG_02	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 4. New York: Springer, 2010.					
Metamycoplasmataceae_NWS_MAG_00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasma_L_sp_MAG_01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Mycoplasma_L_sp_MAG_02	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Mycoplasma_L_sp_MAG_03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Mycoplasma_L_sp_NWS_MAG_00007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Mycoplasmatales_NWS_MAG_00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Mycoplasmoidaceae_MAG_06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Ochrobactrum_A_rhizosphaerae_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Ochrobactrum_A_rhizosphaerae_MAG_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Ochrobactrum_A_rhizosphaerae_MAG_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Oleispira_sp_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Oleispira_sp_MAG_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Oleispira_sp_MAG_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Oleispira_sp_MAG_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
Paraburkholderia_fungorum_MAG_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Paraburkholderia_fungorum_MAG_07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
